authors,title,project,journal,url,year,complete
"Izbicki, R.; Stern, R.B.",Learning with many experts: sparsity and model selection,bayesian,"Statistical Analysis and Data Mining, 6(6):565-577",https://onlinelibrary.wiley.com/doi/abs/10.1002/sam.11206,2013,1
"Izbicki, R.; Lee, A. B.; Schafer, C. M.",High-Dimensional density ratio estimation with extensions to approximate likelihood computation,domain-shift,"Journal of Machine Learning Research (AISTATS Track), 33:420-429, ",http://proceedings.mlr.press/v33/izbicki14.pdf,2014,1
"Izbicki, R.; Lee, A. B.; Schafer, C. M.",High-Dimensional density ratio estimation with extensions to approximate likelihood computation,nonparametric,"Journal of Machine Learning Research (AISTATS Track), 33:420-429",http://proceedings.mlr.press/v33/izbicki14.pdf,2014,1
"da Silva, G.M.; Esteves, L.G.; Fossaluza, V.; Izbicki, R.; Wechsler, S.",A Bayesian Decision-Theoretic Approach to Logically-Consistent Hypothesis Testing,hypothesis,"Entropy, 17: 6534-6559",http://www.mdpi.com/1099-4300/17/10/6534,2015,1
"Izbicki, R.; Esteves, L. G.",Logical consistency in simultaneous statistical test procedures,hypothesis,"Logic Journal of the IGPL, 23(5):732-758",https://academic.oup.com/jigpal/article/23/5/732/976595,2015,1
"Stern, R. B.",A statistical contribution to historical linguistics,bayesian,"PhD thesis, Carnegie Mellon University",,2015,1
"Stern, R. B.; Kadane, J. B.",Coherence of countably many bets,foundations,"Journal of Theoretical Probability 28 (2), 520–538",https://link.springer.com/article/10.1007/s10959-013-0489-9,2015,1
"Izbicki, R.; Lee, A. B.",Nonparametric Conditional Density Estimation in a High-Dimensional Regression Setting,nonparametric,"Journal of Computational and Graphical Statistics, 25(4) 1297-1316",https://www.tandfonline.com/doi/abs/10.1080/10618600.2015.1094393,2016,1
"Lee, A. B.; Izbicki, R.",A Spectral Series Approach to High-Dimensional Nonparametric Regression,nonparametric,"Eletronic Journal of Statistics, 10(1):423-463",https://projecteuclid.org/euclid.ejs/1456322681,2016,1
"Esteves, L. G.; Izbicki, R.; Stern, J. M.; Stern, R. B.",The logical consistency of simultaneous agnostic hypothesis tests,hypothesis,Entropy,http://www.mdpi.com/1099-4300/18/7/256,2016,0
"Zuanetti, D.A.; Milan, L.A.",Data-driven reversible jump for qtl mapping,bayesian,"Genetics, 202(1):25-36",http://www.genetics.org/content/202/1/25,2016,1
"Cisewski, J.; Kadane, J. B.; Schervish, M. J., Seidenfeld, T.; Stern, R. B.",Sleeping Beauty’s Credences,foundations,"Philosophy of Science 83 (3), 324-347",https://www.journals.uchicago.edu/doi/abs/10.1086/685741,2016,1
"Izbicki, R.; Lee, A.B.; Freeman, P.E.",Photo-z estimation: An example of nonparametric conditional density estimation under selection bias,domain-shift,The Annals of Applied Statistics,https://projecteuclid.org/euclid.aoas/1500537720,2017,0
"Freeman, P.E.; Izbicki, R.; Lee, A.B.","A unified framework for constructing, tuning and assessing photometric redshift density estimates in a selection bias setting",domain-shift,Monthly Notices of the Royal Astronomical Society,https://academic.oup.com/mnras/article-abstract/468/4/4556/3092378,2017,0
"Ianishi, P.; Izbicki; R.",Classificação morfológica de galáxias em conjuntos de dados desbalanceados,domain-shift,TEMA – Tendências em Matemática Aplicada e Computacional,http://www.scielo.br/scielo.php?pid=S2179-84512017000100155&script=sci_abstract&tlng=pt,2017,0
"Izbicki, R.; Lee, A. B.",Converting High-Dimensional Regression to High-Dimensional Conditional Density Estimation,nonparametric,Eletronic Journal of Statistics,https://arxiv.org/abs/1704.08095,2017,0
"Izbicki, R.; Lee, A.B.; Freeman, P.E.",Photo-z estimation: An example of nonparametric conditional density estimation under selection bias,nonparametric,The Annals of Applied Statistics,https://projecteuclid.org/euclid.aoas/1500537720,2017,0
